province,2013,2014,2015,
hao,186,0,0,好
youxiu,84,0,0,优秀
xiaoyao,84,0,0,逍遥
shuai,54,0,0,帅
niu,52,0,0,牛
tebie,50,0,0,特别
jianqiang,44,0,0,坚强
beiai,44,0,0,悲哀
hen,44,0,0,狠
shuang,42,0,0,爽
tinghua,42,0,0,听话
genben,38,0,0,根本
chao,35,0,0,潮
youzhong,30,0,0,有种
taoqi,30,0,0,淘气
dongshi,21,0,0,懂事
luan,20,0,0,乱
dai,18,0,0,呆
di,16,0,0,低
shao,15,0,0,少
bushuang,0,86,0,不爽
jiayou,0,52,0,加油
daren,0,42,0,打人
fangqi,0,42,0,放弃
gaibian,0,42,0,改变
ganxie,0,42,0,感谢
bangzhu,0,42,0,帮助
maren,0,36,0,骂人
kan,0,36,0,砍
papa,0,30,0,怕怕
jichou,0,30,0,记仇
ganzhang,0,30,0,干仗
dasi,0,22,0,打死
pian,0,20,0,骗
kanbuqi,0,20,0,看不起
dajia,0,18,0,打架
papa,0,16,0,怕
chao,0,16,0,吵
dantiao,0,16,0,单挑
maren,0,14,0,骂
laoshi,0,0,538,老师
maren,0,0,290,妈
laji,0,0,196,垃圾
xuexiao,0,0,138,学校
xuesheng,0,0,116,学生
xiaozhang,0,0,94,校长
laozi,0,0,92,劳资
tonggan,0,0,84,同感
tongxue,0,0,74,同学
gongduxuexiao,0,0,72,工读学校
meng,0,0,70,梦
xiongdi,0,0,66,兄弟
xiamen,0,0,54,厦门
duguan,0,0,54,赌馆
guojia,0,0,52,国家
jiazhang,0,0,46,家长
pengyou,0,0,46,朋友
liwu,0,0,44,礼物
gou,0,0,43,狗
suzhi ,0,0,42,素质
