地区,在校生数,2013,2014,2015,2016,2017
安徽 Anhui,在校生数,20,20,,,0
北京 Beijing,在校生数,748,600,661,638,618
广东 Guangdong,在校生数,203,225,379,421,401
广西 Guangxi,在校生数,25,28,27,28,13
贵州 Guizhou,在校生数,623,501,600,658,1043
河南 Henan,在校生数,217,183,180,183,175
黑龙江 Heilongjiang,在校生数,2,2,8,8,33
湖北 Hubei,在校生数,87,69,138,106,106
湖南 Hunan,在校生数,70,54,247,341,263
吉林 Jilin,在校生数,284,137,165,158,203
江西 Jiangxi,在校生数,,174,305,348,350
辽宁 Liaoning,在校生数,1321,1286,541,456,487
山西 Shanxi,在校生数,296,310,284,219,170
陕西 Shaanxi,在校生数,42,31,26,26,27
上海 Shanghai,在校生数,1462,1368,988,832,749
四川 Sichuan,在校生数,1074,1074,1051,889,473
天津 Tianjin,在校生数,,,,,0
新疆 Xinjiang,在校生数,2422,1972,1820,1431,440
云南 Yunnan,在校生数,85,59,114,109,150
浙江 Zhejiang,在校生数,291,321,348,294,315
重庆 Chongqing,在校生数,35,80,38,36,32
